;COUNTYFP;STATEFP;Geo Point;NAME;STATE_NAME
2904;73;39;39.4970238369,-82.4792535623;Hocking;Ohio
2905;109;39;40.0534755081,-84.2288717703;Miami;Ohio
2906;20;60;-14.2084357923,-169.53673492;Manu'a;American Samoa
2907;83;27;44.4134915893,-95.8389749015;Lyon;Minnesota
2908;55;18;39.0363277254,-86.962046365;Greene;Indiana
2909;63;45;33.9022896586,-81.2721775142;Lexington;South Carolina
2910;55;46;44.2944276779,-101.539985727;Haakon;South Dakota
2911;43;19;42.8447493088,-91.3414327747;Clayton;Iowa
2912;99;22;30.1290721039,-91.6082975068;St. Martin;Louisiana
2913;73;8;38.9880685587,-103.513965366;Lincoln;Colorado
2914;103;5;33.5933550412,-92.8819343531;Ouachita;Arkansas
2915;71;40;36.8180034435,-97.1439380223;Kay;Oklahoma
2916;123;20;39.3932659263,-98.2093648177;Mitchell;Kansas
2917;93;54;39.1135952897,-79.5649741709;Tucker;West Virginia
2918;15;54;38.4625319965,-81.075087468;Clay;West Virginia
2919;167;18;39.4306386001,-87.3899644539;Vigo;Indiana
2920;5;39;40.8460241928,-82.2706927711;Ashland;Ohio
2921;15;35;32.4714628579,-104.304465762;Eddy;New Mexico
2922;117;31;41.5680844607,-101.060530422;McPherson;Nebraska
2923;113;55;45.8799717759,-91.1446648957;Sawyer;Wisconsin
2924;17;34;40.7309049975,-74.0759554422;Hudson;New Jersey
2925;431;48;31.8278792017,-101.050008039;Sterling;Texas
2926;11;32;39.9838920238,-116.268559598;Eureka;Nevada
2927;9;35;34.5741914782,-103.347029228;Curry;New Mexico
2928;35;51;36.7315540772,-80.733902516;Carroll;Virginia
2929;87;29;40.0944306459,-95.215512199;Holt;Missouri
2930;295;48;36.2777169084,-100.273115438;Lipscomb;Texas
2931;21;21;37.6243602285,-84.8668203815;Boyle;Kentucky
2932;95;55;45.4614199106,-92.4413959911;Polk;Wisconsin
2933;55;29;37.9763768738,-91.3039612785;Crawford;Missouri
2934;15;21;38.969864478,-84.727848116;Boone;Kentucky
2935;113;31;41.5664861496,-100.482861357;Logan;Nebraska
2936;9;27;45.6991358622,-93.9988297843;Benton;Minnesota
2937;165;37;34.8408848102,-79.4804292418;Scotland;North Carolina
2938;139;17;39.6414721595,-88.6192951938;Moultrie;Illinois
2939;65;12;30.4234582107,-83.9004744786;Jefferson;Florida
2940;349;48;32.0469291804,-96.4724850654;Navarro;Texas
2941;45;35;36.5085107806,-108.320603167;San Juan;New Mexico
2942;179;17;40.5075329902,-89.5134035348;Tazewell;Illinois
2943;61;1;31.095016693,-85.8389848955;Geneva;Alabama
2944;55;19;42.4712208979,-91.367341411;Delaware;Iowa
2945;47;12;30.4964266893,-82.9479591393;Hamilton;Florida
2946;45;28;30.3937798122,-89.4745620917;Hancock;Mississippi
2947;155;31;41.2263705176,-96.6374007438;Saunders;Nebraska
2948;9;36;42.2486331385,-78.6788502937;Cattaraugus;New York
2949;121;21;36.8906660574,-83.854045282;Knox;Kentucky
2950;23;53;46.4315588357,-117.545169287;Garfield;Washington
2951;73;45;34.7535027956,-83.0658604798;Oconee;South Carolina
2952;103;46;44.0037135763,-102.823815002;Pennington;South Dakota
2953;187;17;40.8488341603,-90.6150375695;Warren;Illinois
2954;89;1;34.7630897031,-86.5502065185;Madison;Alabama
2955;63;48;32.9732247426,-94.9784769569;Camp;Texas
2956;145;19;40.7391440172,-95.1501748646;Page;Iowa
2957;133;37;34.709836363,-77.4157658244;Onslow;North Carolina
2958;57;47;36.276258667,-83.5096204438;Grainger;Tennessee
2959;17;27;46.592401392,-92.6770526205;Carlton;Minnesota
2960;57;21;36.7865296888,-85.3884485912;Cumberland;Kentucky
2961;153;17;37.222980428,-89.1265952453;Pulaski;Illinois
2962;119;17;38.8297122608,-89.90499843;Madison;Illinois
2963;205;20;37.5592414881,-95.7433888048;Wilson;Kansas
2964;69;22;31.7235401557,-93.0962433857;Natchitoches;Louisiana
2965;139;51;38.619423178,-78.4843979826;Page;Virginia
2966;293;48;31.5454641622,-96.5805297375;Limestone;Texas
2967;95;19;41.6863234292,-92.0655240141;Iowa;Iowa
2968;193;51;38.1128050013,-76.7998633255;Westmoreland;Virginia
2969;463;48;29.3573361783,-99.7622052768;Uvalde;Texas
2970;63;19;43.37802248,-94.6784802642;Emmet;Iowa
2971;183;37;35.7902443741,-78.6503081729;Wake;North Carolina
2972;17;32;37.6433385983,-114.877539979;Lincoln;Nevada
2973;115;26;41.9213775211,-83.4942863604;Monroe;Michigan
2974;69;46;44.5473945862,-99.4871292548;Hyde;South Dakota
2975;195;13;34.1277855795,-83.2090415694;Madison;Georgia
2976;141;28;34.7404337635,-88.2393231398;Tishomingo;Mississippi
2977;69;55;45.3374314914,-89.7346390174;Lincoln;Wisconsin
2978;33;36;44.5929338436,-74.3037621955;Franklin;New York
2979;81;28;34.2898880686,-88.6804161511;Lee;Mississippi
2980;77;20;37.191604867,-98.0754955835;Harper;Kansas
2981;133;19;42.0516662494,-95.9599234782;Monona;Iowa
2982;177;31;41.5310383041,-96.2220294815;Washington;Nebraska
2983;201;20;39.7842012909,-97.0875435237;Washington;Kansas
2984;203;29;37.1573917455,-91.4005112879;Shannon;Missouri
2985;129;27;44.7268149012,-94.9471503059;Renville;Minnesota
2986;37;35;35.104348396,-103.549748464;Quay;New Mexico
2987;133;12;30.6105923313,-85.6653287163;Washington;Florida
2988;69;48;34.5299582294,-102.261669894;Castro;Texas
2989;49;21;37.9708518682,-84.1473994082;Clark;Kentucky
2990;5;26;42.5936732732,-86.2917651855;Allegan;Michigan
2991;103;27;44.3498776053,-94.2473892814;Nicollet;Minnesota
2992;75;55;45.3508956087,-88.00222052;Marinette;Wisconsin
2993;9;25;42.638915376,-70.8679199556;Essex;Massachusetts
2994;43;55;42.8674818753,-90.7062204223;Grant;Wisconsin
2995;131;72;18.3287263734,-66.9712187022;San Sebastián;Puerto Rico
2996;87;36;41.1524635935,-74.0240654916;Rockland;New York
2997;89;5;36.2683474959,-92.6842202167;Marion;Arkansas
2998;151;27;45.2827261064,-95.68142838;Swift;Minnesota
2999;33;29;39.4269814843,-93.50517578;Carroll;Missouri
3000;127;46;42.8324862728,-96.6560903889;Union;South Dakota
3001;175;48;28.6570952089,-97.4264922607;Goliad;Texas
3002;65;29;37.6066301658,-91.5078826618;Dent;Missouri
3003;47;51;38.4860376265,-77.955819263;Culpeper;Virginia
3004;113;47;35.6081436966,-88.8384708522;Madison;Tennessee
3005;115;31;41.91384687,-99.4544205673;Loup;Nebraska
3006;147;28;31.1484222352,-90.1061367548;Walthall;Mississippi
3007;17;45;33.6748549849,-80.7802801147;Calhoun;South Carolina
3008;121;42;41.4009690752,-79.7579455969;Venango;Pennsylvania
3009;149;39;40.3315251833,-84.2047427822;Shelby;Ohio
3010;39;1;31.2484923988,-86.4512425439;Covington;Alabama
3011;91;46;45.7586707668,-97.5985004429;Marshall;South Dakota
3012;71;8;37.3158384919,-104.03869984;Las Animas;Colorado
3013;59;54;37.7264040368,-82.1347612154;Mingo;West Virginia
3014;79;6;35.38741848,-120.452196945;San Luis Obispo;California
3015;19;27;44.82075943,-93.8025859879;Carver;Minnesota
3016;21;34;40.2834374242,-74.7017524053;Mercer;New Jersey
3017;15;12;26.8998432654,-81.9503159678;Charlotte;Florida
3018;775;51;37.2864000021,-80.0554750445;Salem;Virginia
3019;121;51;37.1742907521,-80.3872154427;Montgomery;Virginia
3020;3;35;33.9153518869,-108.404762399;Catron;New Mexico
3021;109;26;45.5251213571,-87.5096840021;Menominee;Michigan
3022;151;18;41.6438678779,-85.000764854;Steuben;Indiana
3023;73;13;33.5441179101,-82.2640527023;Columbia;Georgia
3024;119;48;33.3862927393,-95.6722708168;Delta;Texas
3025;163;39;39.2509849786,-82.4853500567;Vinton;Ohio
3026;49;72;18.3233669794,-65.3008009927;Culebra;Puerto Rico
3027;147;13;34.3508983325,-82.9642475976;Hart;Georgia
3028;135;17;39.2310459341,-89.4788485523;Montgomery;Illinois
3029;131;26;47.0221845765,-89.4347315443;Ontonagon;Michigan
3030;3;41;44.4917990421,-123.429249066;Benton;Oregon
3031;63;42;40.6520516443,-79.0875470867;Indiana;Pennsylvania
3032;81;29;40.3546685834,-93.9920637276;Harrison;Missouri
3033;25;37;35.3867940405,-80.5518508851;Cabarrus;North Carolina
3034;93;12;27.3863036127,-80.888585011;Okeechobee;Florida
3035;69;5;34.2687844437,-91.9315146225;Jefferson;Arkansas
3036;171;27;45.1739317274,-93.9630531168;Wright;Minnesota
3037;165;18;39.8538114574,-87.4639782841;Vermillion;Indiana
3038;55;6;38.5064964441,-122.330538465;Napa;California
3039;25;31;40.9097216232,-96.1408663039;Cass;Nebraska
3040;53;26;46.4954898595,-89.7954717926;Gogebic;Michigan
3041;13;4;33.3489778227,-112.491486812;Maricopa;Arizona
3042;129;17;40.0274157084,-89.8021776433;Menard;Illinois
3043;111;51;36.9462101355,-78.240565851;Lunenburg;Virginia
3044;19;4;32.097399026,-111.789863499;Pima;Arizona
3045;179;31;42.2092885613,-97.11926027;Wayne;Nebraska
3046;61;20;39.0023855083,-96.7525021968;Geary;Kansas
3047;21;24;39.4722125305,-77.3979843347;Frederick;Maryland
